,tipo_prop,barrio,pais,lat,lon,precio_usd,piso,ambientes,sup_total,sup_cubierta,precio_x_m2_usd,subtes,bicis,comisarias,balcon,garage,lavadero,luminoso,subte_linea_d,parrilla,subte_linea_b,aire_acondicionado,piscina,subte_linea_a,terraza,placard,toilette,suite,subte_linea_h,sum,amenities,subte_linea_e,baulera,gimnasio,patio,lujoso,subte_linea_c,dependencias,vestidor,estrenar,villa_urquiza,apto_credito_hipotecario,barrio_norte,jardin,villa_crespo,hidromasaje,san_telmo,vista,sauna,losa_radiante,capital_federal,impecable,interwin,doble_circulacion
55,apartment,Belgrano,Argentina,-34.5645474,-58.4488985,834228.5144147804,3.0,5.0,270.0,250.0,3089.7352385732606,1,0,954.4760132880433,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,apartment,Nuñez,Argentina,-34.542750299999994,-58.46014520000001,135000.0,3.0,1.0,45.0,39.0,3000.0,0,0,1020.4495033190566,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,apartment,Belgrano,Argentina,-34.5640079,-58.45670429999999,92600.0,2.0,1.0,33.0,33.0,2806.060606060606,1,0,431.3281882888469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,apartment,Caballito,Argentina,-34.610434999999995,-58.443029,445000.0,,5.0,158.0,154.0,2816.4556962025317,0,0,423.6205190629092,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,apartment,Belgrano,Argentina,-34.5620844,-58.4566864,340000.0,,4.0,128.0,120.0,2656.25,1,0,219.86518069962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,apartment,Paternal,Argentina,-34.603593700000005,-58.4654251,64435.09,9.0,1.0,27.0,27.0,2386.484814814815,0,0,1184.6171238616814,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
98,apartment,Paternal,Argentina,-34.603593700000005,-58.4654251,65247.74,10.0,1.0,27.0,27.0,2416.582962962963,0,0,1184.6171238616814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,apartment,Puerto Madero,Argentina,-34.617915100000005,-58.3617661,350000.0,,2.0,54.0,50.0,6481.481481481482,0,2,748.3280275366079,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,PH,Villa Pueyrredón,Argentina,-34.5807783,-58.5058262,198000.0,2.0,3.0,116.0,68.0,1706.896551724138,0,0,1223.7410410675275,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0
115,apartment,Caballito,Argentina,-34.6040507,-58.4324956,355000.0,2.0,5.0,200.0,178.0,1775.0,1,1,950.7563051889895,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
119,apartment,San Telmo,Argentina,-34.626675382399995,-58.37266568890001,108356.0,,4.0,41.0,36.0,2642.829268292683,0,3,728.8475042270015,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,apartment,Almagro,Argentina,-34.6176909,-58.4228255,120000.0,,3.0,56.0,47.0,2142.8571428571427,0,2,1237.6311053826378,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
121,apartment,Monserrat,Argentina,-34.6130871,-58.38135989999999,120000.0,4.0,2.0,60.0,60.0,2000.0,4,5,547.6634779129544,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
137,house,Capital Federal,Argentina,-34.6,-58.45,245000.0,,,160.0,135.0,1531.25,0,0,992.512079454785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,house,Capital Federal,Argentina,-34.6,-58.45,500000.0,5.0,,1050.0,280.0,476.1904761904762,0,0,992.512079454785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,apartment,Boca,Argentina,-34.6344961,-58.36313370000001,53000.0,,1.0,33.0,31.0,1606.060606060606,0,2,284.93879100813393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,apartment,Recoleta,Argentina,-34.5955984,-58.4127129,130000.0,,1.0,37.0,37.0,3513.5135135135133,0,3,686.3477804373416,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,apartment,Recoleta,Argentina,-34.5955984,-58.4127129,235000.0,,2.0,61.0,61.0,3852.4590163934427,0,3,686.3477804373416,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,PH,Coghlan,Argentina,-34.5666643,-58.471989,152000.0,6.0,2.0,52.0,52.0,2923.076923076923,0,0,832.9658848870861,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
187,apartment,Balvanera,Argentina,-34.6348579,-58.424936,148430.02879596537,,3.0,76.0,76.0,1953.0266946837546,0,2,690.0721274326253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,apartment,Boedo,Argentina,-34.61591370000001,-58.41585870000001,289000.0,3.0,5.0,228.0,167.0,1267.5438596491229,0,1,741.231009680044,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,apartment,Almagro,Argentina,-34.61591370000001,-58.41585870000001,289000.0,3.0,5.0,228.0,167.0,1267.5438596491229,0,1,741.231009680044,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
